token,score
jesu,2919.946953214707
christ,1802.9878469617406
nt,1589.6165041260315
lord,969.6427036854566
discipl,817.4497867959058
ot,733.9317357185048
thing,596.868222447562
peter,526.3159789947487
paul,522.7597899474869
israel,513.957142379733
king,497.4774393828774
spirit,454.0855274730125
peopl,440.72498974890243
john,386.5632689945473
world,380.94138230448254
land,380.00235420419955
church,350.1205116090782
pharise,316.50082520630156
gospel,295.8915757272672
grace,288.56959577266866
apostl,266.7141785446362
jew,263.69369735880673
faith,245.21491598402142
offer,242.7399726788223
simon,241.82085521380344
demon,238.59000819789742
immedi,236.62708969397352
assuredli,233.69181320931773
baptiz,218.57493013251388
synagogu,204.35625455695202
teacher,196.13967143447843
bodi,193.04842365436278
love,184.5272895405016
judah,183.2527634388146
galile,180.79444368979864
preach,180.0992051968253
hour,179.0085132371292
son,178.87432662461245
pilat,174.253263315829
receiv,168.37049575444615
gentil,161.09132667944644
judea,151.04584878661376
david,149.1333159668909
hous,143.77641168910623
jame,138.69137284321081
crucifi,138.6652161073445
herod,135.135183795949
children,130.03899182167896
boat,127.33810383707228
brethren,127.33775145202392
multitud,120.56224438393248
dead,119.79645295925087
scriptur,118.44671453357634
worthi,117.70961051305497
mose,115.68749568284595
mind,115.48830803482018
philip,113.7980495123781
messeng,113.57772428354289
doctrin,112.70132831641018
member,107.27268578976174
muhammad,106.57476162349167
greet,105.28344183860807
greek,104.8680898224171
god,101.64085440299856
egypt,101.3750064341987
betray,100.33403950910728
crowd,99.83704466707805
barnaba,99.57329332333084
angel,98.62334527339121
spiritu,96.30296694158139
caesar,96.01710427606903
nazareth,96.01710427606903
fellow,95.43154664935467
year,95.23446496620619
law,94.39840976296526
marvel,93.50204195223445
saint,92.7609521397755
juda,92.46091522880721
day,91.73086587238407
hundr,91.39787787241809
conscienc,88.9047261815454
sat,87.15582255688706
pharaoh,85.3526774665433
aaron,83.95080238873841
circumcis,83.05801745893487
etern,82.49205134035462
tribul,82.18244984085567
likewis,81.76999317267703
daughter,81.49303019336432
exhort,81.09975381808493
council,80.02584364486195
mysteri,80.02584364486195
written,79.75164142300525
belov,78.50809815572413
sexual,78.23615903975994
flesh,77.36541712750854
bring,76.06578389591249
heal,74.9149897313376
famili,74.70800549972631
abid,74.36125556467621
heard,73.881063172978
collector,72.93376951188962
justifi,72.78863262048426
sure,72.25163553751727
philistin,71.98717407813686
make,71.62208701641646
hand,71.32324367844296
answer,71.19100375112401
timothi,71.1237809452363
centurion,71.1237809452363
macedonia,71.1237809452363
amen,70.44249177120402
baptism,69.38911680641834
beg,68.77707519639786
host,68.40085530939993
glori,68.18430564429423
partak,68.09667910290374
asia,67.5675918979745
lawless,67.5675918979745
turn,67.29015127600479
boast,67.14717179889686
persecut,67.14311017597136
armi,67.140042493068
altar,67.06935249338449
accus,66.95588819766138
kingdom,66.88365684114954
mari,66.81865010375778
burnt,66.74857577150883
ministri,65.98827173357343
quran,65.23837650831155
levit,64.9006950152316
began,63.95304701019918
