token,score
jesu,0.026794590591201872
israel,0.025411409367854385
lord,0.022720263758241138
king,0.022019396556442583
ot,0.015741483432833943
christ,0.014281504581952398
god,0.01309855157027494
believ,0.012892517759404226
son,0.012107374332554486
muhammad,0.011150853809677352
land,0.010409971516522613
judah,0.010019388364680368
torment,0.009086999425876822
hous,0.008425090914744596
faith,0.008377246475055583
receiv,0.007315333392599304
david,0.007168712819599665
discipl,0.006719546261991864
revel,0.0065075902072667035
unbeliev,0.006032557864433988
egypt,0.005851599888238825
suffer,0.005740902717843133
offer,0.005656927576283112
quran,0.005456651429235565
hand,0.004998231381237572
children,0.004995942588050229
disbeliev,0.004820814717599646
citi,0.00476223209412093
preach,0.004612903207735987
unjust,0.004593496929266491
hundr,0.004574687901415889
nt,0.004548535101270284
guidanc,0.004515689894348421
thing,0.004415744577132421
truth,0.004372105397037347
forgiv,0.004342234597930185
peter,0.00427638838313798
paul,0.004276388383137979
deed,0.0042228961606482485
messeng,0.004207277894031861
know,0.003974158840399002
year,0.003966862434618876
host,0.003868871646549425
hell,0.0038440772754454473
reveal,0.00383453517991248
true,0.0037683842407338908
evid,0.0037190381014368494
daughter,0.003681551883694422
philistin,0.0036586279269482038
sure,0.0036308662275816926
john,0.003521121424859744
reward,0.003519359292676133
creat,0.0034563631117136393
altar,0.003320507619133194
angel,0.0031807004154076517
burnt,0.0031616101441422177
sword,0.0031395915954308697
world,0.0030982947598149303
gospel,0.0030382867976374
hour,0.0030235833168685746
iniqu,0.003007008106538286
camp,0.0029897278986290685
church,0.0029478018188163796
levit,0.0029373391304576405
saul,0.0029334499826151285
reject,0.002909028133896076
repli,0.0028948091277383303
joshua,0.002889949449430656
follow,0.00281752000879329
twenti,0.0027938631196622985
aaron,0.002765180314988703
babylon,0.002716988668759943
gold,0.0027010346132579246
grant,0.0026792332702912387
want,0.002601024366967109
men,0.0025679814629242068
repent,0.002567234383871565
set,0.0025417210009481125
worship,0.00252757283706356
guid,0.002499443886199327
resurrect,0.0024955969646731037
princ,0.00248366743001363
statut,0.0024807506851683074
wick,0.002480406241243035
ask,0.0024561476493690023
thousand,0.0024462752949096734
immedi,0.0024446315535599636
tabernacl,0.0024437673487233517
jerusalem,0.002424190195510522
pharise,0.0024051999662616464
exist,0.0023703468277461517
life,0.0023547073457166473
satan,0.0023498042405375183
paradis,0.002344943437425098
promis,0.0023245483663216007
priest,0.0023245158555137385
silver,0.0023128949004267603
reign,0.00230868186674731
field,0.0022901151851005353
miracl,0.0022824176796787587
deni,0.002245204711956405
moab,0.0022081229029172903
piou,0.0021943305830798643
human,0.0021873550995378426
equal,0.002184899355324248
warn,0.002181636341822013
inhabit,0.0021751126389675164
apostl,0.0021642128908919843
ephraim,0.0021489256581906334
patienc,0.0021326086286591536
guardian,0.002105995351663029
place,0.0021011946415399364
jacob,0.0020714002543720115
mari,0.0020437583781711083
anger,0.0020384437404225462
grace,0.00203838925722095
disbelief,0.0020136488130590756
gate,0.0019867941563190554
wall,0.00197212211403396
joab,0.001969728530861267
young,0.001964770045593354
majest,0.00195989948811613
worldli,0.0019534345572060855
cut,0.0019524094161370701
jew,0.0019401992923805214
man,0.0019374781395987948
author,0.0019340253711838153
ram,0.001919237340028864
awar,0.001916173605236644
gilead,0.0019016423871939143
bronz,0.0018993284490452765
simon,0.0018932267992617516
river,0.001880831501244941
manasseh,0.0018735471833725085
jinn,0.0018631253565397584
religion,0.0018631253565397576
sanctuari,0.0018515487592566109
chariot,0.001851133262854399
captiv,0.001830833773087315
put,0.001829641805331416
nation,0.0018189561046527342
assyria,0.0018165512801484388
ignor,0.001811197441804553
synagogu,0.0018029273426504872
bull,0.0017866279732991718
spirit,0.001784821941157495
book,0.00177622115304015
wilder,0.001775957949190169
deliv,0.0017727751549005916
burn,0.0017678768885655667
solomon,0.0017673801978374463
tent,0.0017656416327088238
mankind,0.001743902931816572
benjamin,0.0017263746216345203
susten,0.0017252511414782476
war,0.0016955853562488458
north,0.0016950742356495944
dwelt,0.0016912594598122274
benefit,0.001690958617465621
strive,0.001675354061667729
cubit,0.0016744127253910423
desol,0.0016560160763617001
jeremiah,0.001641972048995808
assuredli,0.0016413397347755127
meet,0.0016374247665541103
thirti,0.0016323711079690136
benefic,0.0016223722599853076
reason,0.0016160628215572063
congreg,0.0016038590705881575
edom,0.0015954005231625617
group,0.001594918570204754
bring,0.0015925213118498024
border,0.0015856095620924372
head,0.001584988046918822
flock,0.0015845220390081562
baal,0.0015811853604867166
grain,0.0015742260449879623
baptiz,0.0015622002137761519
lift,0.0015552076349535846
midst,0.0015510643928016749
doubt,0.0015479174521715036
zion,0.0015377153137711562
jonathan,0.0015273791468840537
hezekiah,0.0015214748795450573
spoke,0.0015161585693476828
captain,0.0015105513509164272
demon,0.0015091616117227603
side,0.0015062378738705039
scriptur,0.0015041478816428383
heaven,0.001497122624992003
mean,0.001491713810308986
jeroboam,0.001476370833952524
beth,0.0014763708339525223
jordan,0.001473000448525749
remind,0.0014719543093290877
belief,0.0014719543093290864
built,0.001471721582264784
samuel,0.001469781521440043
fact,0.0014622980785452427
disput,0.0014612272873429381
servant,0.001440451398688095
strength,0.0014225057657443485
pilat,0.0014117984807659372
crucifi,0.0014117984807659367
plunder,0.0013923342697984456
judgment,0.00139120587592517
tribe,0.0013910653757720688
power,0.00138712061084629
boat,0.0013817229982429904
devil,0.0013817229982429893
fifti,0.0013770324563302126
wood,0.001376909733394439
shekel,0.001374374050060646
pass,0.001368192856413266
mighti,0.0013657582039856776
prayer,0.001365188103653754
teacher,0.0013541398620352976
creation,0.0013516491366433842
abomin,0.0013484884313142635
ark,0.0013473407011056265
nebuchadnezzar,0.001340380999292068
pagan,0.0013399101112986022
hardship,0.0013287738935935179
manifest,0.0013215768957822631
univers,0.0013215768957822623
condemn,0.0013156016140829906
pillar,0.0013121227393476783
absalom,0.0013063908862583186
dwell,0.0012972398728093447
parabl,0.0012953127629376064
ammon,0.0012893969312294292
famili,0.0012801826035597134
ahab,0.0012724037104397627
behold,0.001271415434764874
amorit,0.0012554112238215473
goat,0.0012464570623421847
incens,0.0012402083271741116
aton,0.0012384194713158194
protect,0.0012331838102419535
doer,0.0012313698957558874
water,0.0012309720280980502
galile,0.001227452577079738
gather,0.0012268689637211965
month,0.0012225172795011666
armi,0.0012201465918690443
number,0.0012072939347634332
coven,0.001191753179750078
wit,0.0011878445702516852
mountain,0.0011870448329555229
hill,0.001181780443889321
judea,0.0011805503972446626
glorifi,0.0011727804068444544
parent,0.0011712399960017246
brought,0.0011651785183657334
accus,0.0011647244029109568
begot,0.001162836609610762
astray,0.0011516377387799498
oil,0.0011466402555715832
valley,0.0011268333302200356
exercis,0.0011188289810533693
steadfast,0.0011174227712330846
south,0.0011165321686255546
sing,0.0011148792691812492
unseen,0.0011111165747211531
admit,0.0011111165747211531
prevent,0.0011111165747211531
love,0.0011106791681805572
court,0.001109809775234121
lip,0.0011063555602047227
bow,0.0011027773227256362
chaldean,0.0010943505246380247
mouth,0.0010931710955172157
recit,0.0010874388337689385
suffici,0.0010826667503441073
muslim,0.0010810572930420948
tax,0.0010790102073346757
gad,0.0010787522521929598
stori,0.0010786025990373535
jehoshaphat,0.0010763476109016663
curs,0.0010748672675553466
injustic,0.0010716584403893527
cedar,0.0010685423079828597
liar,0.0010616800002398652
arm,0.0010588786264150419
sacrific,0.0010515886445214328
selah,0.0010515586264005072
hebron,0.001051558626400507
jame,0.0010509996304209801
news,0.00104197017253082
father,0.0010417159944298494
sky,0.0010366317679803999
dan,0.0010345756781459995
dweller,0.0010341440491226756
sweet,0.0010278239312654593
mose,0.0010272231914903278
egyptian,0.0010270068920440432
canaan,0.0010245852439763263
battl,0.0010227018285291255
assembl,0.0010224494955564615
herod,0.0010209435866714571
virtu,0.001020943586671457
will,0.0010209435866714556
favor,0.0010190604960197145
chamber,0.0010159157338978757
town,0.0010120262330239474
way,0.0010119766669512008
esau,0.0010082424172379346
eleazar,0.0010006119813787575
livestock,0.0010000554371467365
day,0.0009998554182809594
remnant,0.0009982473983242604
lion,0.0009914505898815317
donkey,0.0009897853095913837
east,0.0009858222609373647
canaanit,0.000983631232732912
make,0.0009834814263160897
inherit,0.0009807714063965237
question,0.0009769535951375669
whomev,0.0009687347635031725
zedekiah,0.0009666512171590002
fine,0.0009659275488115046
leader,0.0009655926682738953
testifi,0.0009617369822488267
terribl,0.000956183974475102
submit,0.0009529668446885172
bethel,0.0009496719345955761
abimelech,0.0009326933849719157
furi,0.0009326933849719157
merci,0.0009313495026397573
philip,0.0009307851667977583
respit,0.000930785166797757
eye,0.0009287320830993704
recompens,0.0009213654539402176
decid,0.0009183651560331762
break,0.000916591896014732
lebanon,0.0009157155682312871
territori,0.0009145673332351781
knowledg,0.0009141999350425155
cover,0.0009013537988920041
crimin,0.0009007355966739817
reuben,0.0008993190997476056
etern,0.0008967413248015426
lose,0.0008944307679460374
ten,0.0008918926260318484
virtuou,0.0008883101979517638
deserv,0.000887316350650225
betray,0.0008868935289094351
seventh,0.0008773776948248348
invent,0.0008736447384914345
firstborn,0.0008716847840203034
tradit,0.0008706876444945921
syrian,0.0008671875705882629
sail,0.00086398167089746
greet,0.000862717122879284
result,0.0008612528332516998
fled,0.0008606827997312649
control,0.0008602235880759851
shield,0.0008533677731994682
subject,0.0008490031160029004
fortifi,0.0008478116287580009
abner,0.0008478116287580002
jehu,0.000847811628757999
daniel,0.000841923850158639
pieti,0.0008406413100698583
heavenli,0.0008406413100698583
unlaw,0.0008406413100698581
retribut,0.0008406413100698579
public,0.0008406413100698579
creatur,0.0008382283730920608
bashan,0.0008308374754388826
happi,0.0008307416857502789
crowd,0.0008301718671096487
half,0.0008252372899893755
devour,0.0008239995259830717
told,0.000820185819797636
broken,0.0008186793311972462
encamp,0.0008138640546124434
jehoiada,0.0008138640546124434
mordecai,0.0008138640546124418
samaria,0.0008119813842788876
nazareth,0.0008105965932108158
inevit,0.0008105965932108158
be,0.0008105965932108153
disregard,0.0008105965932108153
religi,0.0008105965932108153
barnaba,0.0008105965932108153
share,0.0008096448337985534
morn,0.0008053035116891735
hors,0.0008013077815730321
length,0.0008005523747934486
possess,0.0007970539985250666
male,0.0007966165785981815
counsel,0.0007947184152363535
fat,0.0007905528065139432
blind,0.0007901190306130804
rest,0.0007898377797031432
enemi,0.0007890337127083682
rod,0.0007888460039080944
dead,0.0007856349024016979
brook,0.000783575644433195
exhort,0.000781854293602597
worthi,0.0007805646722898599
permiss,0.0007805646722898599
clear,0.0007803450119254954
abram,0.0007799194101735848
word,0.0007787882108513237
lost,0.0007768800102274634
prostrat,0.0007763191348600895
greek,0.0007732628691332487
utterli,0.0007723616519069018
prefer,0.0007721649829766331
flour,0.0007659539097135694
height,0.0007644382940794773
laban,0.0007629481864317698
bore,0.0007613854578238683
pray,0.0007610298334646604
top,0.0007607182875196937
sincer,0.0007601236042529855
victori,0.0007556202660612864
width,0.00075305787224689
wrong,0.0007522116893443288
horn,0.0007515020644313919
juda,0.0007505120114592828
hypocrit,0.0007495127204376884
articl,0.000745977694923507
attract,0.0007455281003577477
anoint,0.0007454056587757208
bodi,0.0007448908915205618
disobey,0.0007441614051311295
redeem,0.000743601079395635
entranc,0.000741211631563075
doctrin,0.0007345145203641162
kill,0.0007344038139738269
hittit,0.0007290079355807381
shechem,0.0007275836816437601
spend,0.0007236277990547314
seventi,0.000722412830001538
conscienc,0.0007204721461918132
wicked,0.0007150251072497925
gibeah,0.0007120389083440132
serv,0.0007089280682537054
fellow,0.0007080431879259036
cherubim,0.0007051668340672545
member,0.0007050476442550496
punish,0.0006964952476231683
start,0.000695220149798769
azariah,0.0006950706131468273
mold,0.0006950706131468262
pour,0.0006946511371147854
build,0.0006943192870813186
