token,score
god,2543.081893742629
muhammad,1696.20609448251
believ,1342.3318183515466
torment,1236.9487707181736
messeng,1119.3706296779155
quran,1038.3108546700323
revel,898.3351112657454
guidanc,807.1010829584925
unbeliev,787.2048813549394
disbeliev,785.7217310150576
forgiv,715.41500254426
deed,707.4263480213464
unjust,678.3949637422593
creat,676.3591530246451
hell,584.0316910530013
ot,583.1779541517262
reward,550.567851515197
king,546.3063215203954
evid,525.1441573743442
son,520.8324038752704
reveal,510.10721921775485
truth,505.8887428139919
guid,476.86612782867866
israel,460.30270487852545
repli,440.5402144299559
suffer,439.78649569927666
book,439.22853015301416
worship,428.9275895680914
exist,394.4677333795805
peopl,383.2695132485465
equal,378.45494244586916
reject,374.94340198465505
human,367.88468295080384
true,360.60920103623516
guardian,351.2562107757471
grant,351.0787486792661
man,350.98716964834654
follow,350.32837942313915
paradis,343.805011281476
piou,335.660836639019
favor,323.84275181315616
majest,321.98955690364346
religion,311.1156681670033
disbelief,308.80796970789754
pagan,300.09398052730216
miracl,298.68128283181215
worldli,297.9540998272488
susten,294.6829080211668
jinn,290.9060584204832
hous,290.1103197483892
group,289.9094457296286
benefit,282.0380199196663
fact,276.5156162158519
warn,276.0219218068736
life,273.9389610329659
strive,259.3799133076449
judgment,257.0761079071631
punish,256.6026828952568
awar,256.0125281415533
mankind,249.37137217650738
merci,248.04982362627214
benefic,246.15128020194732
offer,241.79356991764783
terribl,234.60718416178702
protect,228.91049433419553
know,227.08359239102987
belief,226.37576358719394
lord,225.76045688849138
astray,218.58321732838343
news,214.36678394483963
recompens,213.54685843059272
citi,212.37215152581922
hardship,211.33823680674382
satan,209.55949128778983
ignor,208.83311114063613
men,201.0604600062698
univers,196.92102416155785
recit,193.47926729914371
injustic,192.42487460088603
hand,190.4200557603303
told,188.17528420191726
sky,187.15696665602977
receiv,186.4454243705422
want,186.30796596301712
priest,184.1334003602327
garden,183.0768005557075
david,181.7925354206518
happi,181.1393861857608
prostrat,178.77477440660954
patienc,174.22524586711017
prayer,173.09724446935786
path,172.8661586846446
muslim,170.06815723043636
invent,169.883418582496
promis,168.05494598481235
unseen,165.59267940858274
admit,165.59267940858274
judah,165.34547359091093
put,161.22142165493477
spend,160.57706899691794
jerusalem,160.44994499906113
properti,159.83680303554286
belong,158.35939004132163
dweller,157.78709335183223
whomev,157.64565337546367
father,155.55666025149404
prevent,154.8227755932818
steadfast,154.77416160312652
falsehood,154.3366562729616
faith,153.11558062070023
stori,153.09252978974104
virtuou,145.8821657683407
land,143.03984686949872
doer,142.30497988742417
unlaw,141.41231728905097
clear,140.43149947170645
knowledg,140.02026379042866
respit,138.73981247746121
idol,138.72199624978407
suffici,138.0109609034368
respons,136.4410785448218
submit,136.4410785448218
attract,132.47367583220233
start,132.34820865041698
permiss,132.03418947525
bounti,131.8749451265406
pain,131.6615701808747
disobey,131.05244261455238
doubt,130.51413467354223
retribut,129.78885683375404
deserv,128.08412331444737
exercis,127.85220072819783
enjoy,125.33557668937881
be,125.31337901190047
jesu,124.9959807581684
wrong,124.96764501484313
decre,124.35547393475038
consid,123.88303592151561
remind,123.46011734606118
town,122.48482221350218
children,122.05828494189888
inevit,120.83790119004688
virtu,120.2906757456918
work,118.01673895116804
mosqu,116.36242336819328
year,115.20094349685381
relat,114.84392472420527
behold,114.6966346585526
disregard,114.60167042715865
religi,114.60167042715865
pieti,114.60167042715865
christ,113.28399339269167
recal,113.2556123883307
victori,111.6553062031611
result,111.01444951474224
egypt,110.52655376940227
deni,109.58225121887207
public,108.81093418786115
creation,107.57356068406196
thamud,107.4114677244861
legaci,107.4114677244861
share,107.29882849331325
resurrect,107.23828223895254
repent,106.88442447301978
record,106.61083891264087
decid,106.40481136896393
liar,106.03509127205409
hundr,105.87272205486181
argu,105.66911840337191
stream,104.01884702737212
crimin,103.42114301979527
holi,103.09500930218584
islam,102.93598990263253
pay,102.87471418782198
accept,102.34699687934013
expel,102.1103853755166
plan,100.40696346015878
experi,99.92842214722961
nt,99.87760364207726
spoke,99.02514116476642
singl,99.01496434605578
illustri,98.46051208077893
support,97.20239639760406
lost,96.77067451046443
replac,96.73963364957186
achiev,93.98503425892534
torah,93.98503425892534
realiz,93.69404149564652
deliv,92.36105760909676
magic,90.21800680926884
humili,89.89817091875793
error,89.65468586670897
prefer,89.38738720330477
sword,89.37593167076265
suprem,87.81405269393677
noah,87.52444264372568
voic,87.35007717195712
altar,86.94579930653641
ascrib,85.04583879448109
disput,85.04436532987043
hostil,85.03407861521818
ungrat,85.03407861521818
vers,85.03407861521818
domin,85.03407861521818
warner,85.03407861521818
wealth,83.26811654974894
thousand,82.53049887948417
daughter,81.56202208332707
word,81.40824569489168
orphan,81.00380759360661
heard,80.71749240356598
subservi,80.55860079336458
spirit,80.11431707185251
maintain,79.52631845404056
saul,78.39423141916971
genuin,77.77658582082466
evil,77.6317570004851
doom,77.34705512915511
indec,76.08312297151099
lesson,76.08312297151099
mecca,76.08312297151099
authorit,76.08312297151099
templ,75.99958561821344
mere,74.86694440163126
earth,74.3159403591337
set,73.88691490285983
reform,73.359107285993
claim,72.28582450024292
ask,72.25738896665382
brethren,71.83903710570537
consequ,71.60764514965742
bibl,71.60764514965742
home,70.05505682806621
