token,score
god,0.026377399
muhammad,0.020942225
torment,0.014314065
believ,0.014077307
messeng,0.011176286
king,0.011059849
forgiv,0.010956137
quran,0.010214916
revel,0.01006463
unbeliev,0.009086659
guidanc,0.008887358
disbeliev,0.00877439
son,0.008725509
deed,0.007778114
unjust,0.007720751
man,0.007576465
israel,0.007487726
creat,0.007356989
hell,0.006756479
reward,0.006181746
ot,0.006152765
truth,0.005831846
evid,0.005745466
hous,0.00571249
peopl,0.005471462
reveal,0.00538646
repli,0.005312237
guid,0.00507365
book,0.004990478
suffer,0.00468825
reject,0.004581313
men,0.004519036
judah,0.004491128
citi,0.004457674
jerusalem,0.00427469
worship,0.004273561
priest,0.004257827
human,0.004212721
exist,0.004189517
TRUE,0.004114635
piou,0.004100344
equal,0.004091422
grant,0.004041692
majest,0.00399811
put,0.003845273
guardian,0.003839577
paradis,0.00382067
follow,0.003817618
david,0.003770734
disbelief,0.003762344
favor,0.00368082
judgment,0.00363438
hand,0.003510276
jinn,0.003480813
worldli,0.00343195
lord,0.00342782
warn,0.00332204
susten,0.003272256
benefit,0.003231461
merci,0.003195717
behold,0.003160149
christ,0.003148331
pagan,0.003132627
fact,0.003101489
jesu,0.003073432
benefic,0.003030619
group,0.003025003
miracl,0.002976952
awar,0.00294228
strive,0.002932098
punish,0.002916707
life,0.002888433
mankind,0.002875209
religion,0.002831497
father,0.002756589
receiv,0.002736325
egypt,0.002720228
terribl,0.002698319
know,0.002690613
offer,0.002651244
news,0.002606453
astray,0.002586572
work,0.002570554
spoke,0.002545376
protect,0.002543815
belief,0.00254112
univers,0.002468318
hundr,0.002467641
ignor,0.002446513
recompens,0.002443361
hardship,0.002432579
satan,0.002414681
injustic,0.002381649
told,0.002335475
sword,0.002332583
land,0.002239468
deliv,0.002236416
recit,0.002213585
happi,0.00219617
holi,0.002158705
voic,0.002146843
children,0.002131511
want,0.002128819
stori,0.002107774
sky,0.002096726
admit,0.002074999
unseen,0.002074999
faith,0.002068054
garden,0.002064676
muslim,0.00201883
belong,0.002008775
year,0.001989703
altar,0.001971459
path,0.001963682
patienc,0.001942713
prostrat,0.00193493
dweller,0.001882884
prevent,0.001874041
invent,0.001858863
knowledg,0.001845766
saul,0.001840662
whomev,0.001836103
town,0.001823795
promis,0.001806061
bread,0.001798562
templ,0.001797398
suffici,0.001796738
prayer,0.001784026
brethren,0.00176855
heard,0.001764652
virtuou,0.001763576
steadfast,0.001756815
respit,0.001738059
falsehood,0.001725908
wilder,0.001694672
properti,0.001681729
doer,0.001669774
spirit,0.001669243
clear,0.001647271
pain,0.001643512
tabernacl,0.001641055
bounti,0.001640979
host,0.001635604
reign,0.001627653
iniqu,0.001620953
result,0.001611343
daughter,0.001589843
exercis,0.001589539
midst,0.001583967
start,0.001581502
mouth,0.001572656
retribut,0.001569655
depart,0.001568107
disobey,0.001556934
deni,0.001555139
submit,0.001549316
decre,0.001544052
spend,0.001540048
doubt,0.001529497
set,0.001522764
be,0.00151353
inevit,0.00151353
sure,0.001507338
earth,0.001506271
attract,0.001490328
wrong,0.00148693
deserv,0.001484572
word,0.001475743
virtu,0.001465867
thousand,0.001456
consid,0.001454589
twenti,0.001453726
remind,0.001436857
philistin,0.001433439
idol,0.001430887
babylon,0.001422634
enjoy,0.00141309
multitud,0.00140504
permiss,0.001398063
field,0.001392578
unlaw,0.001384685
levit,0.001379899
lift,0.001379899
pieti,0.001378076
support,0.001366309
camp,0.001353135
repent,0.00134662
religi,0.001324443
disregard,0.001324443
answer,0.001319146
pay,0.001295961
gold,0.001291636
thamud,0.001289079
noah,0.001274485
burnt,0.001273327
stood,0.001271652
dwelt,0.001252805
liar,0.001245854
public,0.001235861
mosqu,0.001232979
illustri,0.001232979
respons,0.00122782
argu,0.00121491
crimin,0.001212212
blood,0.001210339
lay,0.001208618
joshua,0.001206003
wick,0.001198051
lost,0.00119627
decid,0.001193533
victori,0.001192908
accept,0.001182474
achiev,0.001176883
heaven,0.001175297
pass,0.001168447
share,0.001165455
relat,0.001158905
replac,0.001158806
silver,0.001154736
resurrect,0.001152894
head,0.0011513
aros,0.001145847
stream,0.00113453
experi,0.001128915
recal,0.001128915
creation,0.001113417
singl,0.001110983
record,0.001109197
gather,0.001103873
expel,0.001094371
discipl,0.001093406
realiz,0.001089886
spoken,0.001084337
mighti,0.00108088
jordan,0.00107903
torah,0.001064707
domin,0.001064707
islam,0.001064707
wall,0.001060959
young,0.001059103
error,0.001055935
magic,0.001054876
glori,0.001051507
suprem,0.001049542
evil,0.001043694
prefer,0.001039464
ask,0.001032879
desol,0.001032273
lamb,0.001025594
humili,0.001009309
live,0.001008677
hostil,0.001008626
subservi,0.001008626
rejoic,0.001006896
nt,0.001005559
fear,0.001003855
plan,0.001000937
wealth,0.000994159
countri,0.000987721
elder,0.000976535
laid,0.000975795
unclean,0.000972174
statut,0.000972174
mere,0.000959802
flow,0.000957232
authorit,0.00095255
lesson,0.00095255
vers,0.00095255
warner,0.00095255
ungrat,0.00095255
peter,0.00094547
paul,0.00094547
captain,0.000938794
cut,0.000937414
chariot,0.000932119
princ,0.000928372
zion,0.000925444
doom,0.000920874
ram,0.000918769
genuin,0.000913332
ephraim,0.000912095
disput,0.000905124
consequ,0.000896478
mecca,0.000896478
indec,0.000896478
magician,0.000895514
ascrib,0.000891998
cri,0.000889385
thirti,0.00088404
person,0.000882107
stone,0.000878576
moab,0.00086538
fell,0.000860972
reform,0.000860464
cloth,0.000860082
orphan,0.000853411
gentil,0.000852036
manasseh,0.000845364
mim,0.000840412
absolut,0.000840412
anoint,0.000838692
messag,0.00083623
harm,0.000834536
kind,0.000825984
oil,0.000819058
bull,0.000818678
built,0.000817146
ancient,0.000816287
bronz,0.000812007
maintain,0.000809859
burn,0.000807602
jeremiah,0.000805337
place,0.000804751
joy,0.000801274
sat,0.000801036
gate,0.000800454
claim,0.000798015
tent,0.000795638
sanctuari,0.000793133
easi,0.000791179
find,0.00078919
incens,0.000785327
day,0.000784551
prohibit,0.00078435
dislik,0.00078435
jacob,0.000778541
war,0.00077838
ten,0.000775695
control,0.000774588
joab,0.000771988
question,0.000766022
defil,0.000765319
walk,0.000764684
